company,email,phone,url
,ausbildung-hamburg@shell.com,082842871,https://www.ausbildung.de/stellen/kfz-mechatroniker-in-m-w-d-2026-in-hamburg-bei-shell-global-solutions-deutschland-gmbh-in-hamburg-625a59d7-08ce-4a0a-8218-02e10dd20b14/
,bewerbungen-rhein-main@stellantis.com,082842871,https://www.ausbildung.de/stellen/ausbildung-kfz-mechatroniker-in-m-w-d-bei-stellantis-you-deutschland-gmbh-in-frankfurt-am-main-17c6e0b6-50e2-425e-9116-061fff5de821/
,bewerbung@pneu.com,082842871,https://www.ausbildung.de/stellen/ausbildung-zum-kraftfahrzeugmechatroniker-m-w-d-fuer-2026-644-kfz-bei-pneuhage-unternehmensgruppe-in-potsdam-96b118fa-fa97-4bbe-b437-1ddc2276b5a9/
,bewerbung@regiobus.pm,03384199131,https://www.ausbildung.de/stellen/ausbildung-kfz-mechatroniker-in-m-w-d-bei-regiobus-potsdam-mittelmark-gmbh-in-potsdam-9818f136-506d-47f9-8121-aef043d9a33b/
,karriere@bergerholding.eu,08518061171,https://www.ausbildung.de/stellen/ausbildung-kfz-mechatroniker-in-m-w-d-bei-berger-bau-se-in-werneuchen-9877ef02-412d-4288-8c12-a94c4eea9299/
,andreas.hauptmann@cemex.com,033638541737,https://www.ausbildung.de/stellen/ausbildung-kfz-mechatroniker-in-m-w-d-nutzfahrzeuge-bei-cemex-deutschland-ag-in-ruedersdorf-bei-berlin-6599f709-d378-49f3-87d8-17e0776239f0/
,mario.engel@sternauto.de,033188800,https://www.ausbildung.de/stellen/ausbildung-kfz-mechatroniker-in-nutzfahrzeug-technik-m-w-b-d-bei-sternauto-in-ludwigsfelde-e2fbef0b-ee74-434d-9e38-cbc8003adeae/
,,+4915157602775,https://www.ausbildung.de/stellen/ausbildung-kfz-mechatroniker-in-m-w-d-fuer-nutzfahrzeugtechnik-bei-volvo-trucks-deutschland-in-wildau-abcaab19-a1ed-462c-8c46-c5442eb7889d/
Audi,,+493081454626060,https://www.ausbildung.de/stellen/ausbildung-kfz-mechatroniker-system-u-hochvolttechnik-m-w-d-bei-audi-bei-volkswagen-group-retail-deutschland-in-frankfurt-am-main-95a4cb88-42ab-41b9-8be1-e9b37a3e0689/
,,+4917630908112,https://www.ausbildung.de/stellen/ausbildung-kfz-mechatroniker-in-m-w-d-x-fuer-system-und-hochvolttechnik-bei-mercedes-benz-die-niederlassungen-in-hamburg-d692d560-a559-47a3-9635-ecd1b2e48cde/
,,04054885888,https://www.ausbildung.de/stellen/ausbildung-kfz-mechatroniker-in-fuer-nutzfahrzeuge-m-w-d-bei-otto-doerner-gmbh-co-kg-in-hamburg-955b913f-68b0-4717-acc1-687581ca56ad/
