company,email,phone,url
,people@houseofhr.de,082842871,https://www.ausbildung.de/stellen/ausbildung-kauffrau-mann-fuer-bueromanagement-m-w-d-bei-house-of-hr-germany-gmbh-in-hamburg-e3afcf4c-cabd-41a6-87d3-0d190e32a189/
,ausbildung@time-4-change.de,022193375510,https://www.ausbildung.de/stellen/ausbildung-kauffrau-mann-fuer-bueromanagement-m-w-d-bei-time-4-change-gmbh-in-koeln-c4d80e7e-7c4a-4822-958b-3a9413e07c83/
,ausbildung-rms@remondis.de,082842871,https://www.ausbildung.de/stellen/ausbildung-kaufleute-fuer-bueromanagement-fuer-2026-m-w-d-bei-remondis-gruppe-in-koeln-707ce76e-3651-49f7-8d4f-87d65964aed7/
,handicap_naund@dhl.com,082842871,https://www.ausbildung.de/stellen/ausbildung-kaufmann-frau-fuer-bueromanagement-m-w-d-in-2026-bei-deutsche-post-und-dhl-in-koeln-bdf39907-3020-41cd-8cbe-552e5ab052ba/
,tobias@herrmann-personal.de,02212724446,https://www.ausbildung.de/stellen/ausbildung-kauffrau-mann-fuer-bueromanagement-m-w-d-bei-herrmann-personaldienste-gmbh-in-koeln-47cacbac-556e-4e8a-8281-2516fb024366/
,karriere@ksp.de,+4940450651447,https://www.ausbildung.de/stellen/ausbildung-kauffrau-mann-fuer-bueromanagement-m-w-d-bei-ksp-kanzlei-dr-seegers-dr-frankenheim-rechtsanwaltsgesellschaft-mbh-in-hamburg-bd286374-b661-41eb-a847-6c908e732a52/
,thomas.becht@dhl.com,082842871,https://www.ausbildung.de/stellen/ausbildung-kaufmann-frau-fuer-bueromanagement-m-w-d-bei-deutsche-post-und-dhl-in-koeln-6a1dac2c-80cf-4364-8fc7-95266c210b75/
,frank.drevin@hlag.com,082842871,https://www.ausbildung.de/stellen/ausbildung-zur-zum-kauffrau-mann-fuer-bueromanagement-m-w-d-zum-01-08-2025-bei-hapag-lloyd-ag-in-hamburg-36e88346-8c10-4a44-9a78-710d4bac6192/
,,0218448,https://www.ausbildung.de/stellen/ausbildung-zum-kaufmann-fuer-bueromanagement-m-w-d-schwerpunkt-personalwirtschaft-assistenz-und-sekretariat-2026-bei-ads-allgemeine-deutsche-steuerberatungsgesellschaft-mbh-in-koeln-e260e856-8f67-43a3-a707-5c60f0218448/
,,+49022039170726,https://www.ausbildung.de/stellen/ausbildung-kaufmann-frau-fuer-bueromanagement-m-w-d-bei-deutsche-post-und-dhl-in-koeln-e3456060-54ff-462f-890a-bcf2708aa19a/
